ERIOMORG,ERIOSCUL,MICRLAZA,MICRBREV,MYRIHARD,MYRISTRI,MICAMINI,ISOECORO,CENTEXSE,PORTBICO,PORTROCK,HYDRPERI,NUMBINNU,CATCSIZE,MAXIDEPT,SEDIDEPT,SURFAREA,POOLVOLU,
1,0,0,0,0,1,0,0,0,0,0,26.3,9,0.5,82,31,14.3,1172.6,
1,0,0,0,0,1,0,0,1,0,0,99.3,3.2,12,72,24,3.4,244.8,
1,0,0,0,0,1,0,0,0,0,0,132.6,2.5,17,59,40,2.6,153.4,
1,0,0,0,0,1,0,0,0,0,0,90.1,3.1,5.5,31,37,1.3,40.3,
1,0,0,0,0,1,0,0,0,0,0,116.8,2.5,15,40,31,1.4,56,
1,0,0,0,0,1,0,0,0,0,0,86.8,3,18,23,29,3.1,71.3,
1,0,0,0,0,1,0,0,1,0,0,57.9,4.6,6,36,34,4.2,151.2,
1,0,0,0,0,1,0,0,0,0,0,215.4,1.6,2.5,162,56,2.3,372.6,
1,0,0,0,0,1,0,0,0,0,0,26.7,9,0,103,36,3.1,319.3,
1,0,0,0,0,1,0,0,0,0,0,50.4,5.6,2,46,45,2.7,124.2,
1,0,0,0,0,1,0,0,0,0,0,48.2,5.7,3.5,62,23,4.8,297.6,
1,0,0,0,0,0,0,0,0,0,1,142.4,2.1,6.5,50,20,0.3,15,
1,0,0,0,0,0,0,0,0,0,1,93,3.2,3.5,45,35,1,45,
1,0,0,0,0,0,0,0,0,0,1,46.7,6.1,1.5,65,30,1.5,97.5,
